building_scope,building_type
NO_nonres_1850_2021,TRA
NO_nonres_1850_2021,OFF
NO_res_1850_2021,MFH
NO_res_1850_2021,SFH
PL_nonres_1850_2021,EDU
PL_nonres_1850_2021,OTH
PL_nonres_1850_2021,OFF
PL_nonres_1850_2021,TRA
PL_nonres_1850_2021,HEA
PL_nonres_1850_2021,HOR
PL_res_1850_2021,SFH
PL_res_1850_2021,MFH
PL_res_1850_2021,ABL
PT_nonres_1850_2021,OTH
PT_nonres_1850_2021,HOR
PT_nonres_1850_2021,EDU
PT_nonres_1850_2021,HEA
PT_nonres_1850_2021,OFF
PT_nonres_1850_2021,TRA
PT_res_1850_2021,SFH
PT_res_1850_2021,ABL
PT_res_1850_2021,MFH
RO_nonres_1850_2021,HEA
RO_nonres_1850_2021,HOR
RO_nonres_1850_2021,TRA
RO_nonres_1850_2021,OFF
RO_nonres_1850_2021,OTH
RO_nonres_1850_2021,EDU
RO_res_1850_2021,ABL
RO_res_1850_2021,MFH
RO_res_1850_2021,SFH
SE_nonres_1850_2021,EDU
SE_nonres_1850_2021,TRA
SE_nonres_1850_2021,HEA
SE_nonres_1850_2021,HOR
SE_nonres_1850_2021,OTH
SE_nonres_1850_2021,OFF
SE_res_1850_2021,SFH
SE_res_1850_2021,MFH
SI_nonres_1850_2021,OTH
SI_nonres_1850_2021,HOR
SI_nonres_1850_2021,HEA
SI_nonres_1850_2021,OFF
SI_nonres_1850_2021,TRA
SI_nonres_1850_2021,EDU
SI_res_1850_2021,MFH
SI_res_1850_2021,SFH
SI_res_1850_2021,ABL
SK_nonres_1850_2021,HEA
SK_nonres_1850_2021,EDU
SK_nonres_1850_2021,HOR
SK_nonres_1850_2021,TRA
SK_nonres_1850_2021,OFF
SK_nonres_1850_2021,OTH
SK_res_1850_2021,ABL
SK_res_1850_2021,MFH
SK_res_1850_2021,SFH
UK_nonres_1850_2021,HEA
UK_nonres_1850_2021,HOR
UK_nonres_1850_2021,OTH
UK_nonres_1850_2021,TRA
UK_nonres_1850_2021,EDU
UK_nonres_1850_2021,OFF
UK_res_1850_2021,SFH
UK_res_1850_2021,ABL
